"Car_name","Make","Car_name_link","Battery","Efficiency","Fast_charge","Price","Range","Top_speed","Acceleration","Price_lambda"
"Citroen e-Berlingo XL 50 kWh","Citroen","https://ev-database.org/car/1547/Citroen-e-Berlingo-XL-50-kWh",46.3,226,330,43640,205,135,11.7,1.41354472731868
"Fiat 500e Cabrio 24 kWh","Fiat","https://ev-database.org/car/1727/Fiat-500e-Cabrio-24-kWh",21.3,158,230,35490,135,135,9,1.41342810299821
"Porsche Taycan Plus Sport Turismo","Porsche","https://ev-database.org/car/1622/Porsche-Taycan-Plus-Sport-Turismo",83.7,188,1090,99815,445,230,5.4,1.41387290235761
"Porsche Taycan Turbo S Sport Turismo","Porsche","https://ev-database.org/car/1626/Porsche-Taycan-Turbo-S-Sport-Turismo",83.7,212,970,198692,395,260,2.8,1.41403199761369
"Citroen e-SpaceTourer XL 75 kWh","Citroen","https://ev-database.org/car/1344/Citroen-e-SpaceTourer-XL-75-kWh",68,262,280,60430,260,130,13.3,1.41369706922791
"Citroen e-Jumpy Combi M 50 kWh","Citroen","https://ev-database.org/car/1595/Citroen-e-Jumpy-Combi-M-50-kWh",46.3,250,290,51940,185,130,12.1,1.41363055958724
"Opel Zafira-e Life M 50 kWh","Opel","https://ev-database.org/car/1346/Opel-Zafira-e-Life-M-50-kWh",46.3,250,290,63250,185,130,12.1,1.41371574967496
"Citroen e-Jumpy Combi XL 75 kWh","Citroen","https://ev-database.org/car/1598/Citroen-e-Jumpy-Combi-XL-75-kWh",68,262,280,58730,260,130,13.3,1.41368507194712
"Porsche Taycan 4S Plus Sport Turismo","Porsche","https://ev-database.org/car/1624/Porsche-Taycan-4S-Plus-Sport-Turismo",83.7,195,1060,120081,430,250,4,1.41392347990122
"Opel Combo-e Life XL 50 kWh","Opel","https://ev-database.org/car/1545/Opel-Combo-e-Life-XL-50-kWh",46.3,232,320,44750,200,135,11.7,1.4135577708542
"Porsche Taycan 4S Sport Turismo","Porsche","https://ev-database.org/car/1623/Porsche-Taycan-4S-Sport-Turismo",71,192,910,114559,370,250,4,1.4139112194862
"Peugeot e-Expert Combi Standard 50 kWh","Peugeot","https://ev-database.org/car/1605/Peugeot-e-Expert-Combi-Standard-50-kWh",46.3,250,290,51940,185,130,13.1,1.41363055958724
"Mercedes eVito Tourer Extra-Long 60 kWh","Mercedes","https://ev-database.org/car/1618/Mercedes-eVito-Tourer-Extra-Long-60-kWh",60,293,300,61571,205,160,12,1.41370480337524
"Peugeot e-Traveller Long 50 kWh","Peugeot","https://ev-database.org/car/1352/Peugeot-e-Traveller-Long-50-kWh",46.3,250,290,54430,185,130,13.1,1.41365189624738
"Fiat E-Ulysse L2 75 kWh","Fiat","https://ev-database.org/car/1722/Fiat-E-Ulysse-L2-75-kWh",68,257,290,61990,265,130,13.3,1.41370758242133
"Porsche Taycan Turbo Sport Turismo","Porsche","https://ev-database.org/car/1625/Porsche-Taycan-Turbo-Sport-Turismo",83.7,207,1000,165372,405,260,3.2,1.41399683556416
"Mercedes EQV 250 Extra-Long","Mercedes","https://ev-database.org/car/1543/Mercedes-EQV-250-Extra-Long",60,286,200,68949,210,160,12,1.41374947854059
"Opel Vivaro-e Combi L 75 kWh","Opel","https://ev-database.org/car/1603/Opel-Vivaro-e-Combi-L-75-kWh",68,262,280,57775,260,130,13.3,1.41367806874054
"Opel Vivaro-e Combi M 50 kWh","Opel","https://ev-database.org/car/1600/Opel-Vivaro-e-Combi-M-50-kWh",46.3,250,290,50992,185,130,12.1,1.41362197067384
"Opel Zafira-e Life L 50 kWh","Opel","https://ev-database.org/car/1347/Opel-Zafira-e-Life-L-50-kWh",46.3,257,290,64075,180,130,12.1,1.41372094842416
"Peugeot e-Expert Combi Long 50 kWh","Peugeot","https://ev-database.org/car/1606/Peugeot-e-Expert-Combi-Long-50-kWh",46.3,250,290,52730,185,130,13.1,1.41363751518022
"Citroen e-Jumpy Combi XL 50 kWh","Citroen","https://ev-database.org/car/1596/Citroen-e-Jumpy-Combi-XL-50-kWh",46.3,257,290,52730,180,130,12.1,1.41363751518022
"Fiat E-Ulysse L2 50 kWh","Fiat","https://ev-database.org/car/1721/Fiat-E-Ulysse-L2-50-kWh",46.3,250,290,55990,185,130,12.1,1.41366443434883
"Opel Vivaro-e Combi L 50 kWh","Opel","https://ev-database.org/car/1601/Opel-Vivaro-e-Combi-L-50-kWh",46.3,257,290,51825,180,130,12.1,1.413629531987
"Opel Zafira-e Life M 75 kWh","Opel","https://ev-database.org/car/1348/Opel-Zafira-e-Life-M-75-kWh",68,257,290,69250,265,130,13.3,1.41375112762253
"Fiat E-Ulysse L3 50 kWh","Fiat","https://ev-database.org/car/1723/Fiat-E-Ulysse-L3-50-kWh",46.3,257,290,56990,180,130,12.1,1.41367216248436
